No,Initial state,num of wrong indexes,manhattan distance,path_length,A* time,A* nodes,IDA* time,IDA* nodes
1,[410573862],8,12,16,0.0,57,0.06604456901550293,763
2,[843725016],7,12,18,0.015665769577026367,145,0.7971146106719971,9649
3,[452706138],7,10,20,0.08154702186584473,661,10.419249057769775,110869
4,[310642578],8,12,20,0.0170438289642334,160,0.20105385780334473,1158
5,[754208631],8,20,26,0.10375356674194336,953,1.5268845558166504,10390
6,[710634258],8,14,24,0.12407326698303223,815,14.298026084899902,146395
7,[358174260],8,16,22,0.01685357093811035,206,0.9332849979400635,12581
8,[531608274],8,16,26,0.4663064479827881,2209,47.779114961624146,219402
9,[031847526],8,14,28,1.5666496753692627,4478,160.8773229122162,1422810
10,[780451236],6,14,26,0.35143280029296875,1913,44.00330185890198,487993
11,[431205768],7,10,22,0.20733356475830078,1263,50.903109550476074,374713
12,[487206513],7,16,26,0.3659818172454834,1669,94.24616026878357,908647
13,[180245736],6,10,24,0.8794906139373779,1888,51.27242374420166,203861
14,[160278453],7,12,18,0.0,205,0.1847984790802002,2494
15,[685703214],8,18,26,0.3109872341156006,1748,10.305002212524414,76493
16,[120735864],6,10,16,0.0,154,0.18876934051513672,2385
17,[352706418],7,10,18,0.021815776824951172,236,2.258730173110962,28204
18,[157304286],6,14,24,0.3999159336090088,1880,20.713395357131958,283944
19,[837546210],7,16,24,0.01565837860107422,256,0.46027255058288574,5736
20,[612783540],8,12,20,0.03125500679016113,271,0.2818567752838135,2059
21,[546328710],7,14,22,0.03255796432495117,413,3.289895534515381,39271
22,[285301764],7,16,24,0.2113361358642578,1311,4.321017503738403,12345
23,[862417530],7,16,22,0.015666961669921875,189,0.1626293659210205,1532
24,[813265740],6,10,20,0.06178021430969238,471,2.998509407043457,19222
25,[863274510],7,16,24,0.051444053649902344,547,2.498379945755005,33727
26,[478261530],8,18,26,0.17694306373596191,1202,2.3665616512298584,16271
27,[830162457],8,12,22,0.1128227710723877,747,20.02912211418152,216739
28,[710248635],8,16,24,0.09178876876831055,533,1.8496153354644775,13098
29,[342178650],8,14,20,0.06670403480529785,394,0.18880319595336914,706
30,[240716538],7,12,18,0.013454437255859375,150,0.0749962329864502,911
31,[153706284],4,8,18,0.043500423431396484,329,4.03045392036438,19074
32,[870534162],8,18,24,0.20449566841125488,860,1.5416560173034668,11325
33,[740823561],8,16,20,0.031208038330078125,100,0.39069032669067383,1902
34,[851407623],7,16,22,0.016650676727294922,150,0.41318631172180176,3148
35,[340581267],8,16,26,0.30819249153137207,1178,24.125973224639893,118234
36,[185602734],6,14,20,0.048470258712768555,262,2.403292417526245,15791
37,[567103842],8,16,24,0.27566981315612793,995,29.800662994384766,127557
38,[175204863],7,14,22,0.11654162406921387,584,3.399442434310913,8381
39,[461205378],8,14,20,0.02317953109741211,171,0.35982775688171387,1744
40,[260157843],7,12,22,0.14214825630187988,598,7.583685874938965,28106
41,[035846127],7,12,20,0.041311025619506836,268,0.7908520698547363,6093
42,[067254138],7,16,24,0.06710195541381836,431,3.1464428901672363,25044
43,[741803625],8,16,16,0.0,33,0.0,33
44,[821754063],6,12,24,0.33411264419555664,1114,55.40162467956543,392486
45,[051472863],7,12,14,0.0,14,0.0,15
46,[467185023],8,14,28,2.670858144760132,4305,850.1050999164581,6929253
47,[347826510],7,16,26,0.1472330093383789,981,13.531394243240356,165212
48,[746205381],7,16,24,0.06369519233703613,496,3.6382486820220947,33512
49,[134872650],7,14,16,0.0,24,0.0,24
50,[765821340],8,18,26,0.14534330368041992,1048,1.6344947814941406,12647
