No,Initial state,A* time,A* nodes,A* path_length,IDA* time,IDA* nodes,IDA* path_length
1,[154708326],0.18153023719787598,1018,24,9.152650356292725,43262,24
2,[410865327],0.015622377395629883,175,20,0.1874525547027588,2591,20
3,[810435276],0.015624523162841797,189,20,0.09372615814208984,288,20
4,[872301546],0.12531781196594238,939,24,22.660396814346313,328438,24
5,[032186475],0.015624523162841797,199,16,1.6975748538970947,23227,16
6,[460213578],0.1132349967956543,835,22,19.065407514572144,103005,22
7,[432705681],0.14097285270690918,1025,22,14.066105365753174,188929,22
8,[428361570],0.015619993209838867,229,22,0.2508690357208252,2373,22
9,[076543128],0.1562802791595459,1131,24,27.969507694244385,246967,24
10,[710368542],0.07186245918273926,459,22,0.8479228019714355,5822,22
11,[051687234],0.03912687301635742,275,24,0.31081628799438477,2608,24
12,[521378640],2.691265821456909,4189,28,132.13635635375977,532413,28
13,[052847316],0.07879090309143066,611,24,0.913884162902832,8452,24
14,[263708145],0.003988981246948242,56,14,0.0009980201721191406,14,14
15,[851604372],0.20644593238830566,1377,26,7.725020170211792,102453,26
16,[738421056],0.35803866386413574,1294,24,91.62323570251465,1088596,24
17,[817452036],0.03139066696166992,324,22,0.32813215255737305,4494,22
18,[417265038],0.06244826316833496,468,24,2.061505079269409,23402,24
19,[036587124],0.07807111740112305,611,22,0.37650132179260254,5006,22
20,[580342617],0.015625476837158203,324,24,0.10931229591369629,1252,24
